,feat,classifier,filter,bcc_mean,bcc_std,auc_mean,auc_std
1,CLIP,OneClassSVM,nlmeans,0.44386666666666663,0.012266666666666648,0.7232763783333334,0.0024961305555555313
2,CLIP,OneClassSVM,none,0.2169,0.0007000000000000062,0.5149758427777779,0.0015907905555555546
3,CLIP,OneClassSVM,cross,0.22326666666666667,0.00026666666666667893,0.5198037872222222,0.0017143105555555982
4,CLIP,OneClassSVM,mean,0.392,0.016466666666666657,0.6670061794444444,0.003352470555555598
5,CLIP,OneClassSVM,access,0.4003333333333333,0.009066666666666695,0.68020932,0.004345230000000089
6,CLIP,OneClassSVM,matthias,0.37466666666666665,0.0018000000000000238,0.696371125,0.0009164061111111566
7,CLIP,OneClassSVM,gaussian,0.42283333333333334,0.05176666666666668,0.6594948966666667,0.004578705555555562
0,CLIP,PCA,none,0.33343333333333336,0.008366666666666689,0.5591058127777778,0.0014243438888889015
1,CLIP,PCA,cross,0.3636,0.016733333333333322,0.5785813522222223,0.0021437833333333156
2,CLIP,PCA,gaussian,0.6381666666666667,3.333333333321864e-05,0.7121275644444445,0.0047140000000000515
3,CLIP,PCA,pmap,0.7483666666666666,0.0009666666666666157,0.8038437383333332,0.014217402777777777
4,CLIP,PCA,access,0.6152,0.01319999999999999,0.7368758088888888,0.0009142711111110868
5,CLIP,PCA,nlmeans,0.6347666666666667,0.014366666666666694,0.7447154233333334,0.009344274444444411
6,CLIP,PCA,mean,0.6670333333333334,0.007299999999999918,0.7289180061111111,0.004203518333333323
7,CLIP,PCA,matthias,0.45963333333333334,0.0032333333333333103,0.7261808544444445,0.00811953222222217
0,PATCH-FFT-PEAKS,IsolationForest,pmap,0.6932666666666667,0.04006666666666664,0.8529742911111111,0.003818124444444404
1,PATCH-FFT-PEAKS,IsolationForest,nlmeans,0.7421333333333333,0.04293333333333332,0.904482105,0.0030381411111111145
2,PATCH-FFT-PEAKS,IsolationForest,none,0.7563333333333333,0.020000000000000018,0.8653779672222222,0.00399573999999997
3,PATCH-FFT-PEAKS,IsolationForest,cross,0.8204666666666667,0.0065333333333333354,0.886482321111111,0.006276172222222209
4,PATCH-FFT-PEAKS,IsolationForest,mean,0.8916333333333333,0.013300000000000034,0.9169892030555555,0.002927392499999959
5,PATCH-FFT-PEAKS,IsolationForest,access,0.8837333333333333,0.005799999999999972,0.9174433866666667,0.002968791666666637
6,PATCH-FFT-PEAKS,IsolationForest,matthias,0.8326,0.004733333333333312,0.889681835,0.0007971716666665962
7,PATCH-FFT-PEAKS,IsolationForest,gaussian,0.8962666666666668,0.009666666666666546,0.9153786619444444,0.0022331347222223075
0,PATCH-FFT-PEAKS,OneClassSVM,access,0.5298333333333334,0.03510000000000002,0.824945491388889,0.009435903055555528
1,PATCH-FFT-PEAKS,OneClassSVM,cross,0.22436666666666666,0.0005000000000000143,0.5328864205555556,0.000238084999999999
2,PATCH-FFT-PEAKS,OneClassSVM,pmap,0.5296666666666667,0.019533333333333347,0.8045499272222223,0.003142063888888824
3,PATCH-FFT-PEAKS,OneClassSVM,mean,0.28733333333333333,0.006066666666666665,0.7158975680555555,0.0001569758333333504
4,PATCH-FFT-PEAKS,OneClassSVM,matthias,0.6438,0.08026666666666671,0.8906317033333333,0.0191066966666667
5,PATCH-FFT-PEAKS,OneClassSVM,gaussian,0.5255000000000001,0.0038333333333332997,0.7625289313888889,0.001054664722222154
6,PATCH-FFT-PEAKS,OneClassSVM,nlmeans,0.4556,0.056066666666666626,0.8006938144444444,0.015006755555555529
7,PATCH-FFT-PEAKS,OneClassSVM,none,0.22436666666666666,0.0005000000000000143,0.5328787866666667,0.0002383300000000088
0,PATCH-FFT-PEAKS,PCA,gaussian,0.7727666666666667,0.04749999999999999,0.8595472805555555,0.005696073888888931
1,PATCH-FFT-PEAKS,PCA,matthias,0.7156333333333333,0.031766666666666665,0.8273022288888888,0.006730966666666727
2,PATCH-FFT-PEAKS,PCA,mean,0.7759666666666667,0.02689999999999998,0.8583816772222221,0.0021482883333333036
3,PATCH-FFT-PEAKS,PCA,access,0.7954666666666668,0.04200000000000009,0.8615427861111111,0.007424600555555549
4,PATCH-FFT-PEAKS,PCA,none,0.2769666666666667,0.002233333333333337,0.5388976388888889,0.0012870444444444407
5,PATCH-FFT-PEAKS,PCA,nlmeans,0.7242666666666666,0.028533333333333355,0.7914700855555554,0.012872045555555545
6,PATCH-FFT-PEAKS,PCA,cross,0.31466666666666665,0.006066666666666665,0.5582958833333334,0.0013404533333333246
7,PATCH-FFT-PEAKS,PCA,pmap,0.7133,0.00550000000000006,0.8231140816666667,0.0009908772222221862
